ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,Ram,Storage
ASUS Vivobook 15 Core i3 10th Gen,4.2,155,14,33990,45990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Core i5 11th Gen,4.5,2451,308,56990,83990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Ryzen 3 Quad Core 5425U,4.4,68,13,35990,50837,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021
DELL Ryzen 3 Quad Core 5425U,4.2,33,1,41490,56834,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021
ASUS Vivobook 15 Core i5 11th Gen,4.1,43,4,50990,69990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Touch Core i5 11th Gen,4.3,118,14,51990,74990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book (Slim) Core i3 11th Gen,4.4,12149,1825,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,1388,238,42990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
RedmiBook Pro Core i5 11th Gen,4.1,3416,410,44999,59999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,75225,98252,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 7 Core i5 12th Gen,4.3,2855,335,61990,94999,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,4.5,1029,121,52990,78990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
APPLE 2022 MacBook Pro M2,4.5,33,3,121990,129900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD
DELL Vostro Core i3 11th Gen,0,0,0,43990,59782,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
RedmiBook Pro Core i3 11th Gen,4.2,4172,483,31990,51999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Celeron Dual Core,4.1,294,31,26990,40490,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS Vivobook 14 (2022) Core i5 12th Gen,4.4,12,1,56990,70990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,67990,95332,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.4,396,55,54990,76890,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
MSI GF63 Thin Core i5 11th Gen,4.4,397,39,50990,64990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,1454,166,46490,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,60190,75649,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 14 (2022) Core i5 12th Gen,4.2,10,1,56990,70990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Infinix X1 Slim Series Core i3 10th Gen,4.2,4082,541,29990,49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H,4.6,124,19,89500,107990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,59690,80473,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,4.3,897,107,62990,86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Touch Core i3 11th Gen,4.3,288,38,41990,60990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
